"komnr","komnr_navn","bydel","bydel_navn","opptaksomr","opptaksomr_navn"
"301","0301 Oslo kommune","30110","10 Grorud","15","Akershus"
"301","0301 Oslo kommune","30111","11 Stovner","15","Akershus"
"301","0301 Oslo kommune","30112","12 Alna","15","Akershus"
"301","0301 Oslo kommune","30103","03 Sagene","16","OUS"
"301","0301 Oslo kommune","30108","08 Nordre Aker","16","OUS"
"301","0301 Oslo kommune","30109","09 Bjerke","16","OUS"
"301","0301 Oslo kommune","30113","13 Østensjø","16","OUS"
"301","0301 Oslo kommune","30114","14 Nordstrand","16","OUS"
"301","0301 Oslo kommune","30115","15 Søndre Nordstrand","16","OUS"
"301","0301 Oslo kommune","30117","17 Marka","16","OUS"
"301","0301 Oslo kommune","30199","99 Uoppgitt bydel Oslo","16","OUS"
"301","0301 Oslo kommune","30101","01 Gamle Oslo","17","Lovisenberg"
"301","0301 Oslo kommune","30102","02 Grünerløkka","17","Lovisenberg"
"301","0301 Oslo kommune","30104","04 St. Hanshaugen","17","Lovisenberg"
"301","0301 Oslo kommune","30116","16 Sentrum","16","OUS"
"301","0301 Oslo kommune","30105","05 Frogner","18","Diakonhjemmet"
"301","0301 Oslo kommune","30106","06 Ullern","18","Diakonhjemmet"
"301","0301 Oslo kommune","30107","07 Vestre Aker","18","Diakonhjemmet"
"1101","1101 Eigersund",".","","13","Stavanger"
"1103","1103 Stavanger","110301","01 Hundvåg","13","Stavanger"
"1103","1103 Stavanger","110302","02 Tasta","13","Stavanger"
"1103","1103 Stavanger","110303","03 Eiganes/Våland","13","Stavanger"
"1103","1103 Stavanger","110304","04 Madla","13","Stavanger"
"1103","1103 Stavanger","110305","05 Storhaug","13","Stavanger"
"1103","1103 Stavanger","110306","06 Hillevåg","13","Stavanger"
"1103","1103 Stavanger","110307","07 Hinna","13","Stavanger"
"1103","1103 Stavanger","110308","08 Finnøy","13","Stavanger"
"1103","1103 Stavanger","110309","09 Rennesøy","13","Stavanger"
"1103","1103 Stavanger","110399","99 Uoppgitt bydel Stavanger","13","Stavanger"
"1106","1106 Haugesund",".","","12","Fonna"
"1108","1108 Sandnes",".","","13","Stavanger"
"1111","1111 Sokndal",".","","13","Stavanger"
"1112","1112 Lund",".","","13","Stavanger"
"1114","1114 Bjerkreim",".","","13","Stavanger"
"1119","1119 Hå",".","","13","Stavanger"
"1120","1120 Klepp",".","","13","Stavanger"
"1121","1121 Time",".","","13","Stavanger"
"1122","1122 Gjesdal",".","","13","Stavanger"
"1124","1124 Sola",".","","13","Stavanger"
"1127","1127 Randaberg",".","","13","Stavanger"
"1130","1130 Strand",".","","13","Stavanger"
"1133","1133 Hjelmeland",".","","13","Stavanger"
"1134","1134 Suldal",".","","12","Fonna"
"1135","1135 Sauda",".","","12","Fonna"
"1144","1144 Kvitsøy",".","","13","Stavanger"
"1145","1145 Bokn",".","","12","Fonna"
"1146","1146 Tysvær",".","","12","Fonna"
"1149","1149 Karmøy",".","","12","Fonna"
"1151","1151 Utsira",".","","12","Fonna"
"1160","1160 Vindafjord",".","","12","Fonna"
"1505","1505 Kristiansund",".","","8","Møre og Romsdal"
"1506","1506 Molde",".","","8","Møre og Romsdal"
"1507","1507 Ålesund",".","","8","Møre og Romsdal"
"1511","1511 Vanylven",".","","8","Møre og Romsdal"
"1514","1514 Sande (Møre og Romsdal)",".","","8","Møre og Romsdal"
"1515","1515 Herøy (Møre og Romsdal)",".","","8","Møre og Romsdal"
"1516","1516 Ulstein",".","","8","Møre og Romsdal"
