"Dato","fra_bydel","fra_navn","til_bydel","til_navn"
"2018","160101","01 Midtbyen","500101","01 Midtbyen"
"2018","160102","02 Østbyen","500102","02 Østbyen"
"2018","160103","03 Lerkendal","500103","03 Lerkendal"
"2018","160104","04 Heimdal","500104","04 Heimdal"
"2018","160199","99 Uoppgitt bydel Trondheim","500199","99 Uoppgitt bydel Trondheim"
"2020","120101","01 Arna","460101","Arna"
"2020","120102","02 Bergenhus","460102","Bergenhus"
"2020","120108","08 Åsane","460108","Åsane"
"2020","120103","03 Fana","460103","Fana"
"2020","120104","04 Fyllingsdalen","460104","Fyllingsdalen"
"2020","120105","05 Laksevåg","460105","Laksevåg"
"2020","120106","06 Ytrebygda","460106","Ytrebygda"
"2020","120107","07 Årstad","460107","Årstad"
"2020","120199","99 Uoppgitt bydel Bergen","460199","Uoppgitt"
