aar;gml_komnr;gml_navn;ny_komnr;ny_navn;kommentar;kommentar2
1988;707;Larvik;709;Larvik;Kontrollert 17.des 2020 mot SSB;
1988;708;Stavern;709;Larvik;Kontrollert 17.des 2020 mot SSB;
1988;725;Tjølling;709;Larvik;Kontrollert 17.des 2020 mot SSB;
1988;726;Brunlanes;709;Larvik;Kontrollert 17.des 2020 mot SSB;
1988;727;Hedrum;709;Larvik;Kontrollert 17.des 2020 mot SSB;
1988;705;Tønsberg;704;Tønsberg;Kontrollert 17.des 2020 mot SSB;
1988;721;Sem;704;Tønsberg;Kontrollert 17.des 2020 mot SSB;
1988;703;Horten;701;Borre;Kontrollert 17.des 2020 mot SSB;
1988;717;Borre;701;Borre;Kontrollert 17.des 2020 mot SSB;
1992;2001;Hammerfest;2004;Hammerfest;Kontrollert 17.des 2020 mot SSB;
1992;2016;Sørøysund;2004;Hammerfest;Kontrollert 17.des 2020 mot SSB;
1992;903;Arendal;906;Arendal;Kontrollert 17.des 2020 mot SSB;
1992;918;Moland;906;Arendal;Kontrollert 17.des 2020 mot SSB;
1992;920;Øyestad;906;Arendal;Kontrollert 17.des 2020 mot SSB;
1992;921;Tromøy;906;Arendal;Kontrollert 17.des 2020 mot SSB;
1992;922;Hisøy;906;Arendal;Kontrollert 17.des 2020 mot SSB;
1992;401;Hamar;403;Hamar;Kontrollert 17.des 2020 mot SSB;
1992;414;Vang;403;Hamar;Kontrollert 17.des 2020 mot SSB;
1992;102;Sarpsborg;105;Sarpsborg;Kontrollert 17.des 2020 mot SSB;
1992;114;Varteig;105;Sarpsborg;Kontrollert 17.des 2020 mot SSB;
1992;115;Skjeberg;105;Sarpsborg;Kontrollert 17.des 2020 mot SSB;
1992;130;Tune;105;Sarpsborg;Kontrollert 17.des 2020 mot SSB;
1994;103;Fredrikstad;106;Fredrikstad;Kontrollert 17.des 2020 mot SSB;
1994;113;Borge;106;Fredrikstad;Kontrollert 17.des 2020 mot SSB;
1994;131;Rolvsøy;106;Fredrikstad;Kontrollert 17.des 2020 mot SSB;
1994;133;Kråkerøy;106;Fredrikstad;Kontrollert 17.des 2020 mot SSB;
1994;134;Onsøy;106;Fredrikstad;Kontrollert 17.des 2020 mot SSB;
2002;718;Ramnes;716;Re;Kontrollert 17.des 2020 mot SSB;
2002;1214;Ølen;1159;Ølen;Kontrollert 17.des 2020 mot SSB;
2005;1842;Skjerstad;1804;Bodø;Kontrollert 17.des 2020 mot SSB;
2006;1154;Vindafjord;1160;Vindafjord;Kontrollert 17.des 2020 mot SSB;
2006;1159;Ølen;1160;Vindafjord;Kontrollert 17.des 2020 mot SSB;
2006;1569;Aure;1576;Aure;Kontrollert 17.des 2020 mot SSB;
2006;1572;Tustna;1576;Aure;Kontrollert 17.des 2020 mot SSB;
2008;1503;Kristiansund;1505;Kristiansund;Kontrollert 17.des 2020 mot SSB;
2008;1556;Frei;1505;Kristiansund;Kontrollert 17.des 2020 mot SSB;
2012;1723;Mosvik;1756;Inderøy;Kontrollert 17.des 2020 mot SSB;
2012;1729;Inderøy;1756;Inderøy;Kontrollert 17.des 2020 mot SSB;
2013;1901;Harstad;1903;Harstad;Kontrollert 17.des 2020 mot SSB;
2013;1915;Bjarkøy;1903;Harstad;Kontrollert 17.des 2020 mot SSB;
2017;706;Sandefjord;710;Sandefjord;Kontrollert 17.des 2020 mot SSB;
2017;719;Andebu;710;Sandefjord;Kontrollert 17.des 2020 mot SSB;
2017;720;Stokke;710;Sandefjord;Kontrollert 17.des 2020 mot SSB;
2018;709;Larvik;712;Larvik;Kontrollert 17.des 2020 mot SSB;
2018;728;Lardal;712;Larvik;Kontrollert 17.des 2020 mot SSB;
2018;702;Holmestrand;715;Holmestrand;Kontrollert 17.des 2020 mot SSB;
2018;714;Hof;715;Holmestrand;Kontrollert 17.des 2020 mot SSB;
2018;722;Nøtterøy;729;Færder;Kontrollert 17.des 2020 mot SSB;
2018;723;Tjøme;729;Færder;Kontrollert 17.des 2020 mot SSB;
2018;1624;Rissa;5054;Indre Fosen;Kontrollert 17.des 2020 mot SSB;
2018;1718;Leksvik;5054;Indre Fosen;Kontrollert 17.des 2020 mot SSB;
2018;1601;Trondheim;5001;Trondheim;Kontrollert 17.des 2020 mot SSB;
2018;1702;Steinkjer;5004;Steinkjer;Kontrollert 17.des 2020 mot SSB;
2018;1703;Namsos;5005;Namsos;Kontrollert 17.des 2020 mot SSB;
2018;1612;Hemne;5011;Hemne;Kontrollert 17.des 2020 mot SSB;
2018;1613;Snillfjord;5012;Snillfjord;Kontrollert 17.des 2020 mot SSB;
2018;1617;Hitra;5013;Hitra;Kontrollert 17.des 2020 mot SSB;
2018;1620;Frøya;5014;Frøya;Kontrollert 17.des 2020 mot SSB;
2018;1621;Ørland;5015;Ørland;Kontrollert 17.des 2020 mot SSB;
2018;1622;Agdenes;5016;Agdenes;Kontrollert 17.des 2020 mot SSB;
2018;1627;Bjugn;5017;Bjugn;Kontrollert 17.des 2020 mot SSB;
2018;1630;Åfjord;5018;Åfjord;Kontrollert 17.des 2020 mot SSB;
2018;1632;Roan;5019;Roan;Kontrollert 17.des 2020 mot SSB;
2018;1633;Osen;5020;Osen;Kontrollert 17.des 2020 mot SSB;
2018;1634;Oppdal;5021;Oppdal;Kontrollert 17.des 2020 mot SSB;
2018;1635;Rennebu;5022;Rennebu;Kontrollert 17.des 2020 mot SSB;
2018;1636;Meldal;5023;Meldal;Kontrollert 17.des 2020 mot SSB;
2018;1638;Orkdal;5024;Orkdal;Kontrollert 17.des 2020 mot SSB;
2018;1640;Røros;5025;Røros;Kontrollert 17.des 2020 mot SSB;
2018;1644;Holtålen;5026;Holtålen;Kontrollert 17.des 2020 mot SSB;
2018;1648;Midtre Gauldal;5027;Midtre Gauldal;Kontrollert 17.des 2020 mot SSB;
2018;1653;Melhus;5028;Melhus;Kontrollert 17.des 2020 mot SSB;
2018;1657;Skaun;5029;Skaun;Kontrollert 17.des 2020 mot SSB;
2018;1662;Klæbu;5030;Klæbu;Kontrollert 17.des 2020 mot SSB;
2018;1663;Malvik;5031;Malvik;Kontrollert 17.des 2020 mot SSB;
2018;1664;Selbu;5032;Selbu;Kontrollert 17.des 2020 mot SSB;
2018;1665;Tydal;5033;Tydal;Kontrollert 17.des 2020 mot SSB;
