ICD10;Tekst
A000;Kolera som skyldes Vibrio cholerae 01, biovar cholerae
A001;Kolera som skyldes Vibrio cholerae 01, biovar eltor
A009;Uspesifisert kolera
A010;Tyfoidfeber
A011;Paratyfoidfeber A
A012;Paratyfoidfeber B
A013;Paratyfoidfeber C
A014;Uspesifisert paratyfoidfeber
A020;Salmonellaenteritt
A021;Salmonellasepsis
A022;Lokaliserte salmonellainfeksjoner
A028;Andre spesifiserte salmonellainfeksjoner
A029;Uspesifisert salmonellainfeksjon
A030;Shigellose som skyldes Shigella dysenteriae
A031;Shigellose som skyldes Shigella flexneri
A032;Shigellose som skyldes Shigella boydii
A033;Shigellose som skyldes Shigella sonnei
A038;Annen spesifisert shigellose
A039;Uspesifisert shigellose
A040;Infeksjon som skyldes enteropatogen Escherichia coli
A041;Infeksjon som skyldes enterotoksigen Escherichia coli
A042;Infeksjon som skyldes enteroinvasiv Escherichia coli
A043;Infeksjon som skyldes enterohemoragisk Escherichia coli
A044;Andre tarminfeksjoner som skyldes Escherichia coli
A045;Enteritt som skyldes Campylobacter
A046;Enteritt som skyldes Yersinia enterocolitica
A047;Enterokolitt som skyldes Clostridium difficile
A048;Andre spesifiserte bakterielle tarminfeksjoner
A049;Uspesifisert bakteriell tarminfeksjon
A050;Matforgiftning som skyldes Staphylococcus
A051;Botulisme
A052;Matforgiftning som skyldes Clostridium perfringens
A053;Matforgiftning som skyldes Vibrio parahaemolyticus
A054;Matforgiftning som skyldes Bacillus cereus
A058;Andre spesifiserte bakterielle matforgiftninger
A059;Uspesifisert bakteriell matforgiftning
A060;Akutt amøbedysenteri
A061;Kronisk amøbeinfeksjon i tarmkanalen
A062;Amøbekolitt uten dysenteri
A063;Amøbom i tarmkanalen
A064;Amøbeabscess i lever
A065;Amøbeabscess i lunge (og lever)
A066;Amøbeabscess i hjerne (og lever/og lunge)
A067;Amøbeinfeksjon i hud
A068;Amøbeinfeksjon med annen spesifisert lokalisasjon
A069;Uspesifisert amøbeinfeksjon
A070;Balantidiasis
A071;Infeksjon som skyldes Giardia lamblia
A072;Cryptosporidiosis
A073;Isosporiasis
A078;Andre spesifiserte protozosykdommer i tarmkanalen
A079;Uspesifisert protozosykdom i tarmkanalen
A080;Rotavirusenteritt
A081;Akutt gastroenteritt som skyldes norovirus
A082;Adenovirusenteritt
A083;Annen virusenteritt
A084;Uspesifisert virusinfeksjon i mage-tarmkanalen
A085;Andre spesifiserte mage-tarminfeksjoner
A090;Annen og uspes. gastroenteritt og kolitt av infeksiøs årsak
A099;Gastroenteritt og kolitt av uspesifisert årsak
A150;Lungetbc bekr. v. mikroskopi av sputum med eller uten kultur
A151;Lungetuberkulose, kun bekreftet ved kultur
