komnr;komnr_navn;bydel;bydel_navn;borhf;borhf_navn;bohf;bohf_navn;bosh;bosh_navn;bodps;bodps_navn;kommentar
5605;5605 Sør-Varanger;;;1;Helse Nord RHF;1;Finnmark;11;Kirkenes;1;Øst-Finnmark;
5607;5607 Vadsø;;;1;Helse Nord RHF;1;Finnmark;11;Kirkenes;1;Øst-Finnmark;
5628;5628 Tana;;;1;Helse Nord RHF;1;Finnmark;11;Kirkenes;1;Øst-Finnmark;
5630;5630 Berlevåg;;;1;Helse Nord RHF;1;Finnmark;11;Kirkenes;1;Øst-Finnmark;
5632;5632 Båtsfjord;;;1;Helse Nord RHF;1;Finnmark;11;Kirkenes;1;Øst-Finnmark;
5634;5634 Vardø;;;1;Helse Nord RHF;1;Finnmark;11;Kirkenes;1;Øst-Finnmark;
5636;5636 Nesseby;;;1;Helse Nord RHF;1;Finnmark;11;Kirkenes;1;Øst-Finnmark;
5624;5624 Lebesby;;;1;Helse Nord RHF;1;Finnmark;11;Kirkenes;2;Midt-Finnmark;
5626;5626 Gamvik;;;1;Helse Nord RHF;1;Finnmark;11;Kirkenes;2;Midt-Finnmark;
5610;5610 Karasjok;;;1;Helse Nord RHF;1;Finnmark;12;Hammerfest;2;Midt-Finnmark;
5612;5612 Kautokeino;;;1;Helse Nord RHF;1;Finnmark;12;Hammerfest;2;Midt-Finnmark;
5622;5622 Porsanger;;;1;Helse Nord RHF;1;Finnmark;12;Hammerfest;2;Midt-Finnmark;
5601;5601 Alta;;;1;Helse Nord RHF;1;Finnmark;12;Hammerfest;3;Vest-Finnmark;
5603;5603 Hammerfest;;;1;Helse Nord RHF;1;Finnmark;12;Hammerfest;3;Vest-Finnmark;
5614;5614 Loppa;;;1;Helse Nord RHF;1;Finnmark;12;Hammerfest;3;Vest-Finnmark;
5616;5616 Hasvik;;;1;Helse Nord RHF;1;Finnmark;12;Hammerfest;3;Vest-Finnmark;
5618;5618 Måsøy;;;1;Helse Nord RHF;1;Finnmark;12;Hammerfest;3;Vest-Finnmark;
5620;5620 Nordkapp;;;1;Helse Nord RHF;1;Finnmark;12;Hammerfest;3;Vest-Finnmark;
5538;5538 Storfjord;;;1;Helse Nord RHF;2;UNN;21;Tromsø;4;Nord-Troms;
5540;5540 Kåfjord;;;1;Helse Nord RHF;2;UNN;21;Tromsø;4;Nord-Troms;
5542;5542 Skjervøy;;;1;Helse Nord RHF;2;UNN;21;Tromsø;4;Nord-Troms;
5544;5544 Nordreisa;;;1;Helse Nord RHF;2;UNN;21;Tromsø;4;Nord-Troms;
5546;5546 Kvænangen;;;1;Helse Nord RHF;2;UNN;21;Tromsø;4;Nord-Troms;
5520;5520 Bardu;;;1;Helse Nord RHF;2;UNN;21;Tromsø;5;Midt-Troms;
5524;5524 Målselv;;;1;Helse Nord RHF;2;UNN;21;Tromsø;5;Midt-Troms;
5526;5526 Sørreisa;;;1;Helse Nord RHF;2;UNN;21;Tromsø;5;Midt-Troms;
5528;5528 Dyrøy;;;1;Helse Nord RHF;2;UNN;21;Tromsø;5;Midt-Troms;
5530;5530 Senja;;;1;Helse Nord RHF;2;UNN;21;Tromsø;5;Midt-Troms;
5501;5501 Tromsø;;;1;Helse Nord RHF;2;UNN;21;Tromsø;6;Tromsø og omegn;
5532;5532 Balsfjord;;;1;Helse Nord RHF;2;UNN;21;Tromsø;6;Tromsø og omegn;
5534;5534 Karlsøy;;;1;Helse Nord RHF;2;UNN;21;Tromsø;6;Tromsø og omegn;
5536;5536 Lyngen;;;1;Helse Nord RHF;2;UNN;21;Tromsø;6;Tromsø og omegn;
5503;5503 Harstad;;;1;Helse Nord RHF;2;UNN;22;Harstad;7;Sør-Troms;
5510;5510 Kvæfjord;;;1;Helse Nord RHF;2;UNN;22;Harstad;7;Sør-Troms;
5514;5514 Ibestad;;;1;Helse Nord RHF;2;UNN;22;Harstad;7;Sør-Troms;
1851;1851 Lødingen;;;1;Helse Nord RHF;2;UNN;22;Harstad;8;Ofoten;
1853;1853 Evenes;;;1;Helse Nord RHF;2;UNN;22;Harstad;8;Ofoten;
5512;5512 Tjeldsund;;;1;Helse Nord RHF;2;UNN;22;Harstad;8;Ofoten;
5516;5516 Gratangen;;;1;Helse Nord RHF;2;UNN;23;Narvik;5;Midt-Troms;
5518;5518 Lavangen;;;1;Helse Nord RHF;2;UNN;23;Narvik;5;Midt-Troms;
5522;5522 Salangen;;;1;Helse Nord RHF;2;UNN;23;Narvik;5;Midt-Troms;
1806;1806 Narvik;;;1;Helse Nord RHF;2;UNN;23;Narvik;8;Ofoten;1.jan.2021: 1806 Narvik består av tidligere 1850 Tysfjord, 1854 Ballangen og 1805 Narvik. 1850 Tysfjord ble delt mellom 1806 Narvik og 1875 Hamarøy. SKDE velger 1806 Narvik. Tysfjord med ca 2000 innbyggere skifter opptaksområde fra Bodø (boshhn=8) til Narvik (boshhn=5).
1857;1857 Værøy;;;1;Helse Nord RHF;3;Nordland;31;Bodø;10;Lofoten;
1804;1804 Bodø;;;1;Helse Nord RHF;3;Nordland;31;Bodø;11;Salten;
1837;1837 Meløy;;;1;Helse Nord RHF;3;Nordland;31;Bodø;11;Salten;
1838;1838 Gildeskål;;;1;Helse Nord RHF;3;Nordland;31;Bodø;11;Salten;
1839;1839 Beiarn;;;1;Helse Nord RHF;3;Nordland;31;Bodø;11;Salten;
1840;1840 Saltdal;;;1;Helse Nord RHF;3;Nordland;31;Bodø;11;Salten;
1841;1841 Fauske;;;1;Helse Nord RHF;3;Nordland;31;Bodø;11;Salten;
1845;1845 Sørfold;;;1;Helse Nord RHF;3;Nordland;31;Bodø;11;Salten;
1848;1848 Steigen;;;1;Helse Nord RHF;3;Nordland;31;Bodø;11;Salten;
1856;1856 Røst;;;1;Helse Nord RHF;3;Nordland;31;Bodø;11;Salten;
1875;1875 Hamarøy;;;1;Helse Nord RHF;3;Nordland;31;Bodø;11;Salten;1.jan.2021: 1850 Tysfjord ble delt mellom 1806 Narvik og 1875 Hamarøy. SKDE velger 1806 Narvik. Tysfjord med ca 2000 innbyggere skifter opptaksområde fra Bodø (boshhn=8) til Narvik (boshhn=5).
1859;1859 Flakstad;;;1;Helse Nord RHF;3;Nordland;32;Lofoten;10;Lofoten;
1860;1860 Vestvågøy;;;1;Helse Nord RHF;3;Nordland;32;Lofoten;10;Lofoten;
1865;1865 Vågan;;;1;Helse Nord RHF;3;Nordland;32;Lofoten;10;Lofoten;
1874;1874 Moskenes;;;1;Helse Nord RHF;3;Nordland;32;Lofoten;10;Lofoten;
1866;1866 Hadsel;;;1;Helse Nord RHF;3;Nordland;33;Vesterålen;9;Vesterålen;
1867;1867 Bø (Nordland);;;1;Helse Nord RHF;3;Nordland;33;Vesterålen;9;Vesterålen;
1868;1868 Øksnes;;;1;Helse Nord RHF;3;Nordland;33;Vesterålen;9;Vesterålen;
1870;1870 Sortland;;;1;Helse Nord RHF;3;Nordland;33;Vesterålen;9;Vesterålen;
1871;1871 Andøy;;;1;Helse Nord RHF;3;Nordland;33;Vesterålen;9;Vesterålen;
1828;1828 Nesna;;;1;Helse Nord RHF;4;Helgeland;41;Mo i Rana;12;Mo i Rana;
1832;1832 Hemnes;;;1;Helse Nord RHF;4;Helgeland;41;Mo i Rana;12;Mo i Rana;
1833;1833 Rana;;;1;Helse Nord RHF;4;Helgeland;41;Mo i Rana;12;Mo i Rana;
1836;1836 Rødøy;;;1;Helse Nord RHF;4;Helgeland;41;Mo i Rana;12;Mo i Rana;
1824;1824 Vefsn;;;1;Helse Nord RHF;4;Helgeland;42;Mosjøen;13;Mosjøen;
1825;1825 Grane;;;1;Helse Nord RHF;4;Helgeland;42;Mosjøen;13;Mosjøen;
1826;1826 Hattfjelldal;;;1;Helse Nord RHF;4;Helgeland;42;Mosjøen;13;Mosjøen;
1811;1811 Bindal;;;1;Helse Nord RHF;4;Helgeland;43;Sandnessjøen;14;Ytre Helgeland;
1812;1812 Sømna;;;1;Helse Nord RHF;4;Helgeland;43;Sandnessjøen;14;Ytre Helgeland;
1813;1813 Brønnøy;;;1;Helse Nord RHF;4;Helgeland;43;Sandnessjøen;14;Ytre Helgeland;
1815;1815 Vega;;;1;Helse Nord RHF;4;Helgeland;43;Sandnessjøen;14;Ytre Helgeland;
1816;1816 Vevelstad;;;1;Helse Nord RHF;4;Helgeland;43;Sandnessjøen;14;Ytre Helgeland;
1818;1818 Herøy (Nordland);;;1;Helse Nord RHF;4;Helgeland;43;Sandnessjøen;14;Ytre Helgeland;
