ICPC2B_ICD10_Kode;ICPC2_Kode;ICPC2B_tekst;icpc2_Kap;icpc2_type;ICPC2B_kode
R529;A01;Smerte generell/flere steder;A;1;A010000
R529;A01;Kronisk generell smerte;A;1;A010001
R520;A01;Smerte akutt INA;A;1;A010002
R529;A01;Smerte diffus;A;1;A010003
R522;A01;Smerte kronisk INA;A;1;A010004
R521;A01;Smerte kronisk intraktabel;A;1;A010005
R529;A01;Smerte mange steder;A;1;A010006
R688;A02;Frysninger;A;1;A020000
R688;A02;Frostfølelse;A;1;A020001
R688;A02;Kuldegysninger;A;1;A020002
R688;A02;Kuldestivhet;A;1;A020003
R509;A03;Feber;A;1;A030000
R509;A03;Feber av ukjent årsak;A;1;A030001
R508;A03;Feber med frostanfall;A;1;A030002
R508;A03;Feber vedvarende;A;1;A030003
R509;A03;Forhøyet kroppstemperatur INA;A;1;A030004
R509;A03;Pyreksi;A;1;A030005
R508;A03;Tilbakevendende feber;A;1;A030006
R502;A03;Legemiddelutløst feber;A;1;A030007
R53;A04;Slapphet/tretthet;A;1;A040000
R53;A04;Asteni INA;A;1;A040001
R53;A04;Generell tretthet;A;1;A040002
R53;A04;Kraftløshet;A;1;A040003
R53;A04;Kronisk tretthet;A;1;A040004
G933;A04;ME (myalgisk encefalomyelopati);A;1;A040005
G933;A04;Myalgisk encefalomyelopati;A;1;A040006
G933;A04;Postviralt tretthetssyndrom;A;1;A040007
G933;A04;Postviralt utmattelsessyndrom;A;1;A040008
R53;A04;Slapphet;A;1;A040009
R53;A04;Svakhetsfølelse generell;A;1;A040010
R53;A04;Tretthet;A;1;A040011
G933;A04;Utmattelse;A;1;A040012
R53;A05;Sykdomsfølelse;A;1;A050000
R53;A05;Følelse av svekket helsetilstand;A;1;A050001
R53;A05;Illebefinnende;A;1;A050002
R53;A05;Utilpasshet;A;1;A050003
R53;A05;Uvelhet;A;1;A050004
R55;A06;Besvimelse/synkope;A;1;A060000
R55;A06;Anfall illebefinnende;A;1;A060001
R55;A06;Besvimelse INA;A;1;A060002
R55;A06;Besvimelse vasovagal;A;1;A060003
R55;A06;Besvimelsestendens;A;1;A060004
R55;A06;Blackout;A;1;A060005
R55;A06;Kollaps;A;1;A060006
R55;A06;Synkope;A;1;A060007
R55;A06;Vasovagal besvimelse;A;1;A060008
R402;A07;Bevisstløshet/koma;A;1;A070000
R401;A07;Bevissthetstap;A;1;A070001
R402;A07;Bevisstløshet;A;1;A070002
R402;A07;Koma;A;1;A070003
R400;A07;Somnolens;A;1;A070004
R401;A07;Sopor;A;1;A070005
R401;A07;Stupor;A;1;A070006
R400;A07;Søvnighet/døsighet;A;1;A070007
R688;A08;Hevelse/oppfylning IKA;A;1;A080000
