KODE;NORSK_BRUKSNAVN;SEKUNDAERT_FAGOMRAADE;FAGOMRAADE_NLK;REFUSJONSKATEGORI;REFUSJON_stat;REFUSJON_privat;STJERNEKODE;REFUSJONSKATEGORI_ENDRET
NOR05003;Us-Osmolalitet;;Medisinsk biokjemi;MB2;6,96;6,45;0;
NOR05007;Us-ALAT;;Medisinsk biokjemi;MB4;12,61;11,69;1;
NOR05015;P-Albumin (elektroforese);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05043;Us-Amylase, total;;Medisinsk biokjemi;MB4;12,61;11,69;1;
NOR05063;Us-Basofile granulocytter;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05080;Sp-CK;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05091;P-CRP, høysensitiv;;Medisinsk biokjemi;MB3;9,53;8,81;0;
NOR05114;Us-Erytrocytter;;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR05165;Us-GT;;Medisinsk biokjemi;MB1;5,16;4,77;0;
NOR05172;B-Hemoglobin;;Medisinsk biokjemi;MB3;9,53;8,81;1;
NOR05176;Us-Hemoglobin;;Medisinsk biokjemi;MB6;23,18;21,5;0;
NOR05203;Us-Jern;;Medisinsk biokjemi;MB5;17,01;15,75;1;
NOR05233;P-Kolinesterase;;Medisinsk biokjemi;MB6;23,18;21,5;1;
NOR05271;Us-Lymfocytter;;Medisinsk biokjemi;MB4;12,61;11,69;0;
NOR05278;Ery-MCHC;;Medisinsk biokjemi;MB0;0,5;0,48;1;
NOR05295;Us-Monocytter;;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR05296;Us-Monocytter;;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR05360;Us-Sink;;Medisinsk biokjemi;MB10;133,86;124,13;0;
NOR05378;Ery-Magnesium;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05379;Us-Trombocytter;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR05411;Ery-Pyruvatkinase;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR05595;Us-EVF;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05766;Us-Aluminium;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR05770;Us-Amylase, pankreas;;Medisinsk biokjemi;MB6;23,18;21,5;1;
NOR05801;Us-ACTH;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05803;Us-Apolipoprotein A1;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05804;Us-Apolipoprotein B;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05805;Us-Bilirubin, konjugert;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05808;Us-MCV;;Medisinsk biokjemi;MB1;5,16;4,77;0;
NOR05809;Us-Ferritin;;Medisinsk biokjemi;MB4;12,61;11,69;0;MB0 til MB4
NOR05811;Us-Folat;;Medisinsk biokjemi;MB6;23,18;21,5;0;MB0 til MB6
NOR05813;Us-Hemoglobin A1c;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05816;Us-Homocystein;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05817;Us-3-Hydroksybutyrat;;Medisinsk biokjemi;MB10;133,86;124,13;0;
NOR05818;Us-Insulin;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05819;Us-IGF1;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05821;Us-LDL-kolesterol;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR05823;Us-Kortisol;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR05825;Us-PTH;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR05827;Us-Retikulocytter;;Medisinsk biokjemi;MB3;9,53;8,81;0;
NOR05828;Us-Urat;;Medisinsk biokjemi;MB2;6,96;6,45;1;
NOR05857;Us-LH;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05858;Us-hCG;;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR05859;Us-FSH;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05860;Us-Prolaktin;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05861;Us-Seksualhormonbindende globulin (SHBG);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05862;Us-Testosteron;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05863;Us-FT4;;Medisinsk biokjemi;MB8;57,76;53,57;0;MB0 til MB8
NOR05864;Us-FT3;;Medisinsk biokjemi;MB8;57,76;53,57;0;MB0 til MB8
NOR05865;Us-TSH;;Medisinsk biokjemi;MB6;23,18;21,5;0;MB0 til MB6
NOR05870;Us-Apolipoprotein A;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05875;Us-Progesteron;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05893;U-Dopamin/Kreatinin;;Medisinsk biokjemi;MB0;0,5;0,48;0;MB10 til MB0
NOR05895;P-Busulfan Css;;Klinisk farmakologi;KF0;0,6;0,6;0;
NOR05905;U-Mikroskopi (liste);;Medisinsk biokjemi;MB10;133,86;124,13;0;MB9 til MB10
NOR05906;F-Samletid;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05909;F-Nitrogenutskillelse pr. døgn;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05910;F-Nitrogen;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05911;F-Fett pr. døgn;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR05912;F-Fett;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05918;Us-Vit B12, total (Kobalamin);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05930;Us-MMA (Metylmalonsyre);;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR05935;Us-NT-proBNP;;Medisinsk biokjemi;MB1;5,16;4,77;0;MB0 til MB1
NOR05936;Us-Lysozym;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05937;Us-CD3 Pos T-lymfocytter;;Medisinsk biokjemi;MB8;57,76;53,57;0;MB0 til MB8
NOR05939;Us-Østradiol;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05940;P-Hemoglobin;;Medisinsk biokjemi;MB6;23,18;21,5;1;
NOR05956;Us-Vit E (Tokoferol, alfa);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05958;Us-Vit A (Retinol);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05959;P-Kalsitonin 20 min.;;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR05960;P-Kalsitonin 1 min.;;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR05986;Us-CK-MB;;Medisinsk biokjemi;MB4;12,61;11,69;0;MB0 til MB4
NOR05987;Us-Myoglobin;;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR05988;Us-Troponin T;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR05998;Us-CA19-9;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15001;Us-Alfa-føtoprotein (AFP);;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR15004;Sp-hCG beta-kjede;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR15007;Sp-CEA;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR15008;Us-CEA;;Medisinsk biokjemi;MB7;35,12;32,55;0;MB8 til MB7
NOR15009;U-Glitterceller;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR15012;Us-NSE;;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR15020;Us-PSA;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR15022;P-Muc1;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15038;SemP-Sædvitalitet;Reproduksjonsmedisin;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR15040;Us-Tyreoglobulin;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR15086;Us-Alanin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15088;Us-Alfa-aminobutyrat;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15089;Us-Beta-aminoisobutyrat;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15090;Us-Arginin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15091;Us-Asparagin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15092;Us-Asparaginsyre;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15093;Us-Citrullin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15094;Us-Cystin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15095;Us-Glutaminsyre;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15096;Us-Glutamin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15097;Us-Glysin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15098;Us-Histidin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15101;Us-Isoleucin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15102;Us-Leucin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15103;Us-Lysin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15104;Us-Metionin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15105;Us-Ornitin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15106;Us-Fenylalanin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15107;Us-Prolin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15108;Us-Serin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15110;Us-Treonin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15111;Us-Tryptofan;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15112;Us-Tyrosin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15113;Us-Valin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15117;Pt-EKG;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR15119;Us-1-Metylhistidin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15120;Us-3-Metylhistidin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15123;Us-Karnosin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15124;Us-Cystationin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15126;Us-Etanolamin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15127;Us-Fosfoetanolamin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15128;Us-gamma-Aminobutyrat;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15129;Us-Homokarnosin;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15139;Us-Homocystin fri;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15150;Us-Tyreoglobulin antistoff;Immunologi og transfusjonsmedisin;Medisinsk biokjemi;MB7;35,12;32,55;0;IT2 til MB7
NOR15160;Ve-Sitronsyre-syntase;;Medisinsk biokjemi;MB14;2449,66;2271,55;0;
NOR15161;Lkc-Cystein/protein;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR15163;Ve-Cytokrom c-oksidase;;Medisinsk biokjemi;MB14;2449,66;2271,55;0;
NOR15164;Lkc-Fruktose-1,6-difosfatase;;Medisinsk biokjemi;MB14;2449,66;2271,55;0;
NOR15165;Lkc-Fruktose-1,6-difosfatase;;Medisinsk biokjemi;MB14;2449,66;2271,55;0;
NOR15167;Ery-Galaktose-1-fosfat-uridyltransferase (GALT);;Medisinsk biokjemi;MB14;2449,66;2271,55;0;
NOR15173;Lkc(B)-Alfa-L-iduronidase;Medisinsk biokjemi;Medisinsk biokjemi;MB13;1224,82;1135,76;0;KF4 til MB13
NOR15174;Lkc-CPT-II;;Medisinsk biokjemi;MB14;2449,66;2271,55;0;
NOR15178;U-Mukopolysakkarider/Kreatinin;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR15181;Lymc-Pyruvatdehydrogenase;;Medisinsk biokjemi;MB14;2449,66;2271,55;0;
NOR15186;Us-Organiske syrer (liste);;Medisinsk biokjemi;MB12;514,71;477,31;0;
NOR15196;U-Xylose;;Medisinsk biokjemi;MB7;35,12;32,55;0;
NOR15215;Us-Muc1;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR15227;U-Mukopolysakkarider (DMB-test);;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR15228;Ery-Glykogen-avgreiningsenzym;;Medisinsk biokjemi;MB14;2449,66;2271,55;0;
NOR15229;P-C14:1-karnitin;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR15230;P-C14-OH-karnitin;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR15231;P-C16-karnitin/C18:1-karnitin;;Medisinsk biokjemi;MB3;9,53;8,81;0;
NOR15232;P-C16:1-karnitin;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR15233;P-C16-OH-karnitin;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR15234;P-C18:1-karnitin;;Medisinsk biokjemi;MB8;57,76;53,57;0;
